filename,true_text,predicted_text,correct,char_count,segments_found
002e23-0.png,002e23,002e23,True,6,6
00995l-0.png,00995l,009q5l,False,6,6
03yl9s-0.png,03yl9s,o3yl9s,False,6,6
03yuav5-0.png,03yuav5,03yuov5,False,7,7
03zl90-0.png,03zl90,03zl90,True,6,6
04zqohgi-0.png,04zqohgi,o4zquk9i,False,8,8
05htm-0.png,05htm,05htm,True,5,5
05pb-0.png,05pb,05pb,True,4,4
07oj-0.png,07oj,070j,False,4,4
07z0-0.png,07z0,07z0,True,4,4
08ft2e2z-0.png,08ft2e2z,q8fr2e2z,False,8,8
08lf-0.png,08lf,08lf,True,4,4
08nxd77-0.png,08nxd77,08r1xd77,False,7,8
08otejfi-0.png,08otejfi,08otejfi,True,8,8
08sba-0.png,08sba,08sb2,False,5,5
09popm-0.png,09popm,09popm,True,6,6
0a6pl1g-0.png,0a6pl1g,0a6pl1g,True,7,7
0a7sh2wp-0.png,0a7sh2wp,ohtjh2wl,False,8,8
0al4pl-0.png,0al4pl,02l40l,False,6,6
0c3dp-0.png,0c3dp,0c3dp,True,5,5
0c7mgdmd-0.png,0c7mgdmd,o07mgdmo,False,8,8
0chnm34-0.png,0chnm34,i0mn4,False,7,5
0cr6-0.png,0cr6,0ck,False,4,3
0dtjdlvt-0.png,0dtjdlvt,80tjdlut,False,8,8
0dx9-0.png,0dx9,0dx9,True,4,4
0fa6qtkn-0.png,0fa6qtkn,0ta6qtkxl,False,8,9
0fee-0.png,0fee,0f0q,False,4,4
0gil-0.png,0gil,0gl1,False,4,4
0h5ya8-0.png,0h5ya8,qh5ya8,False,6,6
0i7uom-0.png,0i7uom,0i7uom,True,6,6
0k2lyyc-0.png,0k2lyyc,0kayyc,False,7,6
0l10nwmz-0.png,0l10nwmz,0l70nwmz,False,8,8
0l1r-0.png,0l1r,8l18,False,4,4
0l8l2s-0.png,0l8l2s,0l8l2s,True,6,6
0lfjfob-0.png,0lfjfob,0mh,False,7,3
0lqk95h-0.png,0lqk95h,0lqkg5h,False,7,7
0mcp7jt-0.png,0mcp7jt,umch7jt,False,7,7
0me2a-0.png,0me2a,uome2a,False,5,6
0mgnhi-0.png,0mgnhi,omgwhi,False,6,6
0msl-0.png,0msl,0msl,True,4,4
0n5546-0.png,0n5546,0n5546,True,6,6
0nq0e-0.png,0nq0e,0nq0e,True,5,5
0ntf-0.png,0ntf,0nif,False,4,4
0nucs59-0.png,0nucs59,qnucs59,False,7,7
0pglswc-0.png,0pglswc,0pgl8wc,False,7,7
0pv2w1t-0.png,0pv2w1t,0pv2wlt,False,7,7
0q2tywyt-0.png,0q2tywyt,0q2tywyt,True,8,8
0rlbarm-0.png,0rlbarm,0rlbarm,True,7,7
0rq9qn-0.png,0rq9qn,0rqgq0,False,6,6
0s2rn2o-0.png,0s2rn2o,052an20,False,7,7
0sia-0.png,0sia,osia,False,4,4
0sm8cb4c-0.png,0sm8cb4c,osm8cb4c,False,8,8
0ta7lh92-0.png,0ta7lh92,0ta7lh92,True,8,8
0tbe-0.png,0tbe,otse,False,4,4
0u0y5-0.png,0u0y5,0u0y5,True,5,5
0u4aj-0.png,0u4aj,0u4aj,True,5,5
0v4o0p-0.png,0v4o0p,0pro0p,False,6,6
0vug13-0.png,0vug13,0vu613,False,6,6
0w0pankd-0.png,0w0pankd,0wopankd,False,8,8
0wla-0.png,0wla,0uf,False,4,3
0wy4otel-0.png,0wy4otel,0wy4otel,True,8,8
0yoxyw5-0.png,0yoxyw5,0yoxyw5,True,7,7
0z6u3-0.png,0z6u3,0z6u3,True,5,5
11nm-0.png,11nm,11nm,True,4,4
1324mrg-0.png,1324mrg,l324mrg,False,7,7
13be3kf-0.png,13be3kf,l3be3kf,False,7,7
13bsgn2-0.png,13bsgn2,aaes2n2,False,7,7
13v4msh-0.png,13v4msh,13v4msh,True,7,7
18gg-0.png,18gg,18gg,True,4,4
19hz-0.png,19hz,19hz,True,4,4
1asdyrv-0.png,1asdyrv,1asdyrv,True,7,7
1avc-0.png,1avc,1avc,True,4,4
1awqu-0.png,1awqu,1awqu,True,5,5
1bu55hc-0.png,1bu55hc,18u5shc,False,7,7
1c3bl3zm-0.png,1c3bl3zm,1l3bh7jzm,False,8,9
1cfa40wy-0.png,1cfa40wy,lcfa40wy,False,8,8
1ctc5l-0.png,1ctc5l,tmh,False,6,3
1dhcacd-0.png,1dhcacd,1dhcacd,True,7,7
1dy0p-0.png,1dy0p,1dy0b,False,5,5
1ed0i9xz-0.png,1ed0i9xz,1qd0lgxz,False,8,8
1ewgub4-0.png,1ewgub4,lew6ub4,False,7,7
1ewq-0.png,1ewq,1ey0,False,4,4
1fh4thm-0.png,1fh4thm,lfh4thm,False,7,7
1gbu5qus-0.png,1gbu5qus,1g8u6quq,False,8,8
1hfm-0.png,1hfm,1hfn,False,4,4
1imwt-0.png,1imwt,1imwt,True,5,5
1j2xhu-0.png,1j2xhu,1j2xhu,True,6,6
1j4109-0.png,1j4109,1j4109,True,6,6
1ku9bzoy-0.png,1ku9bzoy,1ku9bzoy,True,8,8
1lrn-0.png,1lrn,1lan,False,4,4
1mrffz-0.png,1mrffz,lmrffz,False,6,6
1mwa-0.png,1mwa,1mwa,True,4,4
1nyd-0.png,1nyd,lnyd,False,4,4
1qp4886m-0.png,1qp4886m,1qp4886m,True,8,8
1rhud8rx-0.png,1rhud8rx,kwudmx,False,8,6
1sll9-0.png,1sll9,isllq,False,5,5
1tyn-0.png,1tyn,1tyn,True,4,4
1ulul-0.png,1ulul,7ulul,False,5,5
1wiynjx2-0.png,1wiynjx2,1y1xajx2,False,8,8
1wu0cul-0.png,1wu0cul,1lu1j0cul,False,7,9
1x44n7nx-0.png,1x44n7nx,1x44n7nx,True,8,8
1x8ljpi-0.png,1x8ljpi,1x8cjpi,False,7,7
1xut0w4-0.png,1xut0w4,lxut0w4,False,7,7
20ka8wmo-0.png,20ka8wmo,20ka8wm0,False,8,8
220ofgki-0.png,220ofgki,228rof9vv5t,False,8,11
23osam-0.png,23osam,23osam,True,6,6
24ldbq3f-0.png,24ldbq3f,24ldbq3f,True,8,8
24yos85-0.png,24yos85,24yosg5,False,7,7
265qfy-0.png,265qfy,265qfy,True,6,6
